timestamp,timerfc,device,GPU use (),GPU Memory Allocated (VRAM),GPU Memory Read/Write Activity (),Memory Activity,Avg. Memory Bandwidth
1763071501,,card0,61,2,1,N/A,0
1763071502,,card0,76,2,1,N/A,0
1763071504,,card0,58,2,1,N/A,0
1763071505,,card0,81,2,1,N/A,0
1763071506,,card0,42,2,2,N/A,0
1763071507,,card0,61,2,1,N/A,0
1763071508,,card0,63,2,1,N/A,0
1763071509,,card0,10,2,0,N/A,0
1763071510,,card0,34,2,0,N/A,0
1763071512,,card0,45,2,0,N/A,0
1763071513,,card0,27,2,0,N/A,0
1763071514,,card0,0,2,0,N/A,0
1763071515,,card0,13,2,0,N/A,0
1763071516,,card0,15,2,0,N/A,0
1763071517,,card0,0,2,0,N/A,0
1763071518,,card0,0,2,0,N/A,0
1763071519,,card0,0,2,0,N/A,0
1763071520,,card0,0,2,0,N/A,0
1763071522,,card0,24,2,0,N/A,0
1763071523,,card0,13,2,0,N/A,0
1763071524,,card0,27,2,0,N/A,0
1763071525,,card0,7,2,0,N/A,0
1763071526,,card0,24,2,0,N/A,0
1763071527,,card0,48,2,0,N/A,0
1763071528,,card0,39,2,1,N/A,0
1763071530,,card0,63,2,0,N/A,0
1763071531,,card0,58,2,0,N/A,0
1763071532,,card0,24,2,0,N/A,0
1763071533,,card0,57,2,0,N/A,0
1763071534,,card0,71,2,1,N/A,0
1763071535,,card0,76,2,2,N/A,0
1763071536,,card0,60,2,0,N/A,0
1763071537,,card0,49,2,0,N/A,0
1763071539,,card0,67,2,0,N/A,0
1763071540,,card0,64,2,1,N/A,0
1763071541,,card0,61,2,1,N/A,0
1763071542,,card0,41,2,0,N/A,0
1763071543,,card0,7,2,0,N/A,0
1763071544,,card0,18,2,0,N/A,0
1763071545,,card0,19,2,1,N/A,0
1763071546,,card0,32,2,0,N/A,0
1763071548,,card0,0,2,0,N/A,0
1763071549,,card0,0,2,0,N/A,0
1763071550,,card0,9,2,0,N/A,0
1763071551,,card0,4,2,0,N/A,0
1763071552,,card0,13,2,0,N/A,0
1763071553,,card0,10,2,0,N/A,0
1763071554,,card0,9,2,0,N/A,0
1763071555,,card0,23,2,0,N/A,0
1763071556,,card0,40,2,4,N/A,0
1763071558,,card0,2,2,0,N/A,0
1763071559,,card0,12,2,0,N/A,0
1763071560,,card0,32,2,1,N/A,0
1763071561,,card0,48,2,8,N/A,0
1763071562,,card0,42,2,1,N/A,0
1763071563,,card0,65,2,1,N/A,0
1763071564,,card0,52,2,0,N/A,0
1763071565,,card0,30,2,0,N/A,0
1763071567,,card0,71,2,1,N/A,0
1763071568,,card0,61,2,1,N/A,0
1763071569,,card0,60,2,1,N/A,0
